ID,Word,Definition,Part of Speech,Example Sentence,Synonym 1,Synonym 2,CEFR Level,Difficulty Score,Category,Frequency Level,Word Family,Usage Note,Related Words
4639,Falcate,Curved like a sickle.,Adjective,A falcate leaf.,falciform,sickle-shaped,C1,64,General,Uncommon,,,curved;curving
4640,Fallacious,Containing or based on a fallacy.,Adjective,Fallacious reasoning.,unsound,,B2,39,General,Less Common,,,invalid;fallacy;fallaciousness
4641,Fallible,"Wanting in moral strength, courage, or will; having the attributes of man as opposed to e.g. divine beings.",Adjective,I'm only a fallible human.,frail,imperfect,B2,39,General,Less Common,,,undependable;fallibility;weak
4642,Fallout,Any adverse and unwanted secondary effect.,Noun,A strategy to contain the fallout from the accounting scandal.,side effect,,A2,6,General,Very Common,,,consequence;outcome;dust
4643,Falseness,The state of being false or untrue.,Noun,Argument could not determine its truth or falsity.,falsity,,C1,64,General,Uncommon,,,false;unreality;irreality
4644,Falsifying,"Tamper, with the purpose of deception.",Verb,Fudge the figures.,fudge,manipulate,B2,39,Society & Culture,Less Common,,,misrepresent;distort;sentimentalize
4645,Falsity,The state of being false or untrue.,Noun,Argument could not determine its truth or falsity.,falseness,,B1,24,General,Common,,,statement;fabrication;contradiction
4646,Falteringly,In an unsteady manner.,Adverb,He walked unsteadily toward the exit.,unsteadily,uncertainly,C1,64,General,Uncommon,,,flickering;arrhythmic;jerking
4647,Familiarise,Make familiar or conversant with.,Verb,You should acquaint yourself with your new computer.,familiarize,acquaint,C1,64,Communication,Uncommon,,,introduce;present;familiarisation
4648,Familiarising,Make familiar or conversant with.,Verb,You should acquaint yourself with your new computer.,familiarize,familiarise,C1,64,Communication,Uncommon,,,introduce;present;inform
4649,Familiarized,Make familiar or conversant with.,Verb,You should acquaint yourself with your new computer.,familiarize,familiarise,C1,64,Communication,Uncommon,,,introduce;present;inform
4650,Familiarizing,Make familiar or conversant with.,Verb,You should acquaint yourself with your new computer.,familiarize,familiarise,C1,64,Communication,Uncommon,,,introduce;present;inform
4651,Famously,Extremely well.,Adverb,He did splendidly in the exam.,excellently,magnificently,C1,64,General,Uncommon,,,superior;famous;known
4652,Fanatical,Marked by excessive enthusiasm for and intense devotion to a cause or idea.,Adjective,Rabid isolationist.,fanatic,overzealous,B1,30,General,Common,,,passionate
4653,Fancier,Not plain; decorative or ornamented.,Adjective,Fancy handwriting.,fancy,,B2,39,General,Less Common,,,churrigueresque;elaborate;vermicular
4654,Fanciful,Indulging in or influenced by fancy.,Adjective,A fanciful mind.,notional,,B1,30,General,Common,,,creative;originative;unreal
4655,Fanfare,(music) a short lively tune played on brass instruments.,Noun,He entered to a flourish of trumpets.,flourish,tucket,B2,39,Communication,Less Common,,,display;splurge;screening
4656,Fantasise,Indulge in fantasies.,Verb,He is fantasizing when he says he plans to start his own company.,fantasy,fantasize,C1,64,Arts & Creativity,Uncommon,,,imagine;prefigure;envision
4657,Fantasm,A ghostly appearing figure.,Noun,We were unprepared for the apparition that confronted us.,apparition,phantom,C1,64,Society & Culture,Uncommon,,,illusion;semblance;phantasma
4658,Fantastically,Exceedingly; extremely.,Adverb,She plays fabulously well.,fabulously,incredibly,B1,30,General,Common,,,
4659,Faraway,Very far away in space or time.,Adjective,Faraway mountains.,far-off,,C1,64,General,Uncommon,,,distant;farawayness;remote
4660,Farewell,The act of departing politely.,Noun,He disliked long farewells.,leave,leave-taking,A2,8,General,Very Common,,,acknowledgment;goodbye;afternoon
4661,Farinaceous,Composed of or covered with particles resembling meal in texture or consistency.,Adjective,Granular sugar.,coarse-grained,grainy,C1,64,General,Uncommon,,,starchy;coarse;harsh
4662,Farseeing,Planning prudently for the future.,Adjective,Large goals that required farsighted policies.,farsighted,foresighted,C1,64,General,Uncommon,,,presbyopic;provident
4663,Farther,More distant in especially degree.,Adjective,Nothing could be further from the truth.,further,,A2,6,General,Very Common,,,
4664,Farthermost,(comparatives of `far') most remote in space or time or order.,Adjective,Had traveled to the farthest frontier.,farthest,furthermost,C1,64,General,Uncommon,,,
4665,Fascinate,"To render motionless, as with a fixed stare or by arousing terror or awe.",Verb,The snake charmer fascinates the cobra.,transfix,grip,B1,24,Emotion,Common,,,interest;spellbind;fascination
4666,Fascist,Relating to or characteristic of fascism.,Adjective,Fascist propaganda.,fascistic,,B1,30,General,Common,,,fascism
4667,Fashionable,Being or in accordance with current social fashions.,Adjective,Fashionable clothing.,stylish,,A2,9,General,Very Common,,,dashing;raffish;mod
4668,Fashioned,Make out of components (often in an improvising manner).,Verb,She fashioned a tent out of a sheet and a few sticks.,fashion,forge,A2,13,Arts & Creativity,Very Common,,,compose;compile;construct
4669,Fastball,(baseball) a pitch thrown with maximum velocity.,Noun,He swung late on the fastball.,heater,smoke,C1,64,General,Uncommon,,,delivery;pitch;curve
4670,Fastening,Cause to be firmly attached.,Verb,Fasten the lock onto the door.,fasten,fix,B2,39,General,Less Common,,,implant;attach;glue
4671,Fastidious,Having complicated nutritional requirements; especially growing only in special artificial cultures.,Adjective,Fastidious microorganisms.,exacting,,B1,24,General,Common,,,meticulous;finical;finicky
4672,Fasting,"Abstain from certain foods, as for religious or medical reasons.",Verb,Catholics sometimes fast during Lent.,fast,,C1,64,Health & Wellness,Uncommon,,,abstain;refrain;teetotal
4673,Fastness,A rate (usually rapid) at which something happens.,Noun,The project advanced with gratifying speed.,speed,swiftness,C1,64,General,Uncommon,,,hastiness;hurriedness;precipitation
4674,Fatalistic,Of or relating to fatalism.,Adjective,A fatalist person.,fatalist,,C1,64,General,Uncommon,,,fatalism
4675,Fateful,Having momentous consequences; of decisive importance.,Adjective,That fateful meeting of the U.N. when...it declared war on North Korea.,fatal,,B1,24,General,Common,,,decisive;prophetical;prophetic
4676,Fatigue,Temporary loss of strength and energy resulting from hard physical or mental work.,Noun,He was hospitalized for extreme fatigue.,weariness,tiredness,A2,9,General,Very Common,,,grogginess;failing;weakness
4677,Fatigued,Lose interest or become bored with something or somebody.,Verb,I'm so tired of your mother and her complaints about my food.,tire,pall,B1,24,Health & Wellness,Common,,,devolve;withdraw;exhaust
4678,Fatless,Without fat or fat solids.,Adjective,Nonfat or fat-free milk.,nonfat,fat-free,C1,64,General,Uncommon,,,light;lite;skim
4679,Fattened,Make fat or plump.,Verb,We will plump out that poor starving child.,fatten,fat,C1,64,Health & Wellness,Uncommon,,,change;alter;modify
4680,Fattiness,Having the property of containing fat.,Noun,He recommended exercise to reduce my adiposity.,adiposity,adiposeness,C1,64,General,Uncommon,,,blubber;avoirdupois;fatty
4681,Fatuousness,A ludicrous folly.,Noun,The crowd laughed at the absurdity of the clown's behavior.,absurdity,fatuity,C1,64,General,Uncommon,,,foolishness;fatuous;folly
4682,Faultfinding,Tending to find and call attention to faults.,Adjective,A captious pedant.,captious,,C1,64,General,Uncommon,,,critical;judgmental
4683,Faultless,Without fault or error.,Adjective,Faultless logic.,immaculate,impeccable,B2,39,General,Less Common,,,perfect
4684,Favorably,Showing approval.,Adverb,He reviewed the play favorably.,favourably,,A2,8,General,Very Common,,,approbative;complimentary;affirmatory
4685,Favourable,Encouraging or approving or pleasing.,Adjective,A favorable reply.,favorable,,C1,64,General,Uncommon,,,approbative;complimentary;affirmatory
4686,Fawning,Try to gain favor by cringing or flattering.,Verb,He is always kowtowing to his boss.,fawn,toady,B2,39,Communication,Less Common,,,replicate;truckle;bootlick
4687,Fearful,Causing fear or dread or terror.,Adjective,The awful war.,awful,dire,A2,8,General,Very Common,,,alarming;fearfulness;afraid
4688,Fearlessly,Without fear.,Adverb,"Fearlessly, he led the troops into combat.",dauntlessly,intrepidly,B1,30,General,Common,,,courageous;fearless;unblinking
4689,Feather,Grow feathers.,Verb,The young sparrows are fledging already.,fledge,,B1,15,Health & Wellness,Common,,,anastomose;entwine;ingraft
4690,Featherbedding,Treat with excessive indulgence.,Verb,Grandparents often pamper the children.,pamper,featherbed,B2,39,Society & Culture,Less Common,,,brutalise;mistreat;maltreat
4691,Featherbrained,Lacking seriousness; given to frivolity.,Adjective,A dizzy blonde.,airheaded,dizzy,C1,64,General,Uncommon,,,frivolous
4692,Feathering,Grow feathers.,Verb,The young sparrows are fledging already.,fledge,feather,C1,64,Health & Wellness,Uncommon,,,anastomose;entwine;ingraft
4693,Featherlike,Resembling or suggesting a feather or feathers.,Adjective,Feathery palm trees.,feathery,,C1,64,General,Uncommon,,,
4694,Febrile,Of or relating to or characterized by fever.,Adjective,A febrile reaction caused by an allergen.,feverish,,B2,39,General,Less Common,,,fever
4695,Fecklessly,With ineptitude; in an incompetent manner.,Adverb,He performed his functions ineptly.,ineptly,,C1,64,General,Uncommon,,,incompetent;feckless
4696,Fecundate,Make fertile or productive.,Verb,The course fertilized her imagination.,fertilize,fertilise,C1,64,General,Uncommon,,,impregnate;fecundation;change
4697,Federalise,Enter into a league for a common purpose.,Verb,The republics federated to become the Soviet Union.,federate,federalize,C1,64,General,Uncommon,,,decentralize;deconcentrate;decentralise
4698,Federalize,Unite on a federal basis or band together as a league.,Verb,The country was federated after the civil war.,federate,federalise,B2,39,General,Less Common,,,decentralize;deconcentrate;decentralise
4699,Federated,Enter into a league for a common purpose.,Verb,The republics federated to become the Soviet Union.,federate,federalize,C1,64,General,Uncommon,,,converge;associate;confederate
4700,Feebleness,The quality of lacking intensity or substance.,Noun,A shrill yet sweet tenuity of voice.,tenuity,,C1,64,General,Uncommon,,,wasting;weakness;disability
4701,Feigned,Make believe with the intent to deceive.,Verb,He feigned that he was ill.,feign,sham,B2,39,Communication,Less Common,,,misrepresent;bullshit;distort
4702,Felicitation,(usually plural) an expression of pleasure at the success or good fortune of another.,Noun,I sent them my sincere congratulations on their marriage.,congratulation,,C1,64,Communication,Uncommon,,,expression;verbalism;articulation
4703,Fellowship,An association of people who share common beliefs or activities.,Noun,The message was addressed not just to employees but to every member of the company family.,family,,A2,5,Society & Culture,Very Common,,,association;friendship;institute
4704,Feminine,Befitting or characteristic of a woman especially a mature woman.,Adjective,Womanly virtues of gentleness and compassion.,womanly,,A2,10,General,Very Common,,,distaff;maidenlike;feminineness
4705,Feminise,Assume (more) feminine characteristics.,Verb,Feminized language.,feminize,,C1,64,General,Uncommon,,,feminisation;change;alter
4706,Fencing,Enclose with a fence.,Verb,We fenced in our yard.,fence,fence in,B1,20,General,Common,,,enclose;inclose;receive
4707,Ferment,A state of agitation or turbulent change or development.,Noun,The political ferment produced new leadership.,agitation,fermentation,B1,30,General,Common,,,substance;tempestuousness;violence
4708,Fermenting,Be in an agitated or excited state.,Verb,The Middle East is fermenting.,ferment,,B2,39,Emotion,Less Common,,,overflow;seethe;boil
4709,Fernlike,Resembling ferns especially in leaf shape.,Adjective,The ferny shadows of locust leaves.,ferny,,C1,64,General,Uncommon,,,ferned
4710,Ferociously,In a physically fierce manner.,Adverb,Silence broken by dogs barking ferociously.,fiercely,,B1,30,General,Common,,,violent;ferocious
4711,Fertile,Intellectually productive.,Adjective,A prolific writer.,fecund,prolific,B1,17,General,Common,,,fertility;productive;conceptive
4712,Fertility,The property of producing abundantly and sustaining vigorous and luxuriant growth.,Noun,He praised the richness of the soil.,richness,rankness,A2,10,General,Very Common,,,fertile;rate
4713,Fervency,Feelings of great warmth and intensity.,Noun,He spoke with great ardor.,ardor,ardour,C1,64,Emotion,Uncommon,,,fervent;passion;fervour
4714,Fervent,Characterized by intense emotion.,Adjective,Ardent love.,ardent,fervid,B1,17,General,Common,,,fervency;passionate;hot
4715,Fervidly,With passionate fervor.,Adverb,Both those for and against are fervently convinced they speak for the great majority of the people.,fierily,fervently,C1,64,General,Uncommon,,,passionate;fervid
4716,Fervour,The state of being emotionally aroused and worked up.,Noun,His face was flushed with excitement and his hands trembled.,excitement,excitation,C1,64,General,Uncommon,,,passion;inflammation;fervency
4717,Festinate,Act or move at high speed.,Verb,We have to rush!,rush,hasten,C1,64,General,Uncommon,,,festination;act;move
4718,Fetching,Go or come after and bring or take back.,Verb,"Get me those books over there, please.",bring,get,B1,24,General,Common,,,transfer;transport;channel
4719,Feverish,Marked by intense agitation or emotion.,Adjective,Worked at a feverish pace.,hectic,,B1,20,General,Common,,,agitated;feverishness;fever
4720,Fictile,Susceptible to being led or directed.,Adjective,Fictile masses of people ripe for propaganda.,pliable,,C1,64,General,Uncommon,,,pottery;susceptible
4721,Fictionalise,Make into fiction.,Verb,The writer fictionalized the lives of his parents in his latest novel.,fictionalize,retell,C1,64,Arts & Creativity,Uncommon,,,convert;represent;present
4722,Fictitious,Formed or conceived by the imagination.,Adjective,A fabricated excuse for his absence.,fabricated,fancied,B1,30,General,Common,,,counterfeit;fiction;unreal
4723,Fictive,Adopted in order to deceive.,Adjective,An assumed name.,assumed,false,B2,39,General,Less Common,,,counterfeit;creative;originative
4724,Fidgetiness,A feeling of agitation expressed in continual motion.,Noun,He's got the fidgets.,fidget,restlessness,C1,64,Emotion,Uncommon,,,agitation;turmoil;stewing
4725,Fiducial,Relating to or of the nature of a legal trust (i.e. the holding of something in trust for another).,Adjective,A fiduciary contract.,fiduciary,,C1,64,General,Uncommon,,,standard;trust
4726,Fielding,Answer adequately or successfully.,Verb,The lawyer fielded all questions from the press.,field,,B1,24,Communication,Common,,,manipulate;handle;palm
4727,Fiendishly,As a devil; in an evil manner.,Adverb,His writing could be diabolically satiric.,diabolically,devilishly,C1,64,General,Uncommon,,,fiendish;evil
4728,Fiercely,In a physically fierce manner.,Adverb,Silence broken by dogs barking ferociously.,ferociously,,B1,20,General,Common,,,violent;fierce
4729,Fierily,With passionate fervor.,Adverb,Both those for and against are fervently convinced they speak for the great majority of the people.,fervently,fervidly,C1,64,General,Uncommon,,,passionate;fiery
4730,Figurative,(used of the meanings of words or text) not literal; using figures of speech.,Adjective,Figurative language.,nonliteral,,B1,17,General,Common,,,metonymical;tropical;extended
4731,Filipino,Of or relating to or characteristic of the Philippines or its people or customs.,Adjective,The Philippine President.,philippine,,B1,30,General,Common,,,philippines
4732,Filmdom,The personnel of the film industry.,Noun,A star of stage and screen.,screenland,screen,B2,39,Society & Culture,Less Common,,,hollywood;bollywood
4733,Filthily,In a filthy unclean manner.,Adverb,A dirtily dressed camel driver.,dirtily,,C1,64,General,Uncommon,,,begrimed;raunchy;bedraggled
4734,Finalise,Make final; put the last touches on; put into final form.,Verb,Let's finalize the proposal.,finalize,settle,C1,64,General,Uncommon,,,dissolve;conclude;closure
4735,Finalize,Make final; put the last touches on; put into final form.,Verb,Let's finalize the proposal.,finalise,settle,C1,64,General,Uncommon,,,dissolve;conclude;closure
4736,Findings,"The act of determining the properties of something, usually by research or calculation.",Noun,The determination of molecular structures.,determination,finding,A2,5,General,Very Common,,,collection;assemblage;discovery
4737,Fineness,The quality of being very good indeed.,Noun,The inn is distinguished by the fineness of its cuisine.,choiceness,,B2,39,General,Less Common,,,narrowness;ingenuity;superiority
4738,Fingered,Feel or handle with the fingers.,Verb,Finger the binding of the book.,finger,thumb,B1,24,General,Common,,,osculate;touch;strike
4739,Fingerlike,Resembling a finger.,Adjective,Digitate leaves of the horse chestnut.,digitate,,C1,65,General,Uncommon,,,
4740,Fingerspell,"Communicate by means of specific gestures, as an alternative to sign language.",Verb,The Deaf often fingerspell.,finger-spell,,C1,65,Communication,Uncommon,,,communicate;fingerspelling;intercommunicate
4741,Finical,Exacting especially about details.,Adjective,A finicky eater.,finicky,fussy,C1,65,General,Uncommon,,,fastidious
4742,Finicky,Exacting especially about details.,Adjective,A finicky eater.,finical,fussy,B2,39,General,Less Common,,,fastidious
4743,Firebrand,Someone who deliberately foments trouble.,Noun,She was the instigator of their quarrel.,instigator,provoker,C1,65,Society & Culture,Uncommon,,,hellion;firewood;troublemaker
4744,Fireplace,An open recess in a wall at the base of a chimney where a fire can be built.,Noun,The fireplace was so large you could walk inside it.,hearth,open fireplace,B1,15,Science & Technology,Common,,,mantelpiece;mantlepiece;recess
4745,Firmness,The muscle tone of healthy tissue.,Noun,His muscular firmness.,soundness,,B1,20,General,Common,,,strength;possession;decision
4746,Firstborn,First in order of birth.,Adjective,The firstborn child.,eldest,,C1,65,General,Uncommon,,,
4747,Firstly,Before anything else.,Adverb,First we must consider the garter snake.,first,foremost,C1,65,General,Uncommon,,,
4748,Fishbowl,A state of affairs in which you have no privacy.,Noun,The president lives in a goldfish bowl.,goldfish bowl,fish bowl,C1,65,General,Uncommon,,,situation;aquarium;bowl
4749,Fishing,Seek indirectly.,Verb,Fish for compliments.,fish,angle,A2,6,General,Very Common,,,scallop;intercept;search
4750,Fissionable,Capable of undergoing nuclear fission.,Adjective,A fissionable nucleous.,fissile,,C1,65,General,Uncommon,,,
4751,Fissiparous,Having separated or advocating separation from another entity or policy or attitude.,Adjective,A breakaway faction.,breakaway,separatist,C1,65,General,Uncommon,,,independent;asexual;nonsexual
4752,Fittingness,The quality of being suitable.,Noun,They had to prove their fitness for the position.,fitness,,C1,65,General,Uncommon,,,fitting;suitability;qualification
4753,Fixings,Food that is a component of a mixture in cooking.,Noun,The recipe lists all the fixings for a salad.,ingredient,,C1,65,Health & Wellness,Uncommon,,,flavoring;seasoning;albumen
4754,Fizzing,Become bubbly or frothy or foaming.,Verb,The boiling soup was frothing.,foam,froth,C1,65,General,Uncommon,,,bubble;seethe;lather
4755,Flabbergast,Overcome with amazement.,Verb,This boggles the mind!,boggle,bowl over,C1,65,Academic,Uncommon,,,surprise;astonish;shock
4756,Flaccid,Out of condition; not strong or robust; incapable of exertion or endurance.,Adjective,He was too soft for the army.,soft,flabby,C1,65,General,Uncommon,,,flaccidity;unfit
4757,Flagitious,"Extremely wicked, deeply criminal.",Adjective,A flagitious crime.,heinous,,C1,65,General,Uncommon,,,wicked;evil
4758,Flamboyance,Extravagant elaborateness.,Noun,He wrote with great flamboyance.,floridness,floridity,C1,65,General,Uncommon,,,ornateness;showiness;flamboyant
4759,Flamboyantly,In a fancy colorful manner.,Adverb,He dresses rather flamboyantly.,showily,flashily,B2,39,General,Less Common,,,pretentious;flamboyant;ostentatious
4760,Flaming,The process of combustion of inflammable materials producing heat and light and (often) smoke.,Noun,Fire was one of our ancestors' first discoveries.,fire,flame,B1,15,Nature,Common,,,combustion;burning;blazing
4761,Flaring,Burn brightly.,Verb,Every star seemed to flare with new intensity.,flare,flame up,B1,24,Nature,Common,,,smolder;smoulder;distend
4762,Flashing,A short vivid experience.,Noun,A flash of emotion swept over him.,flash,,B1,15,General,Common,,,experience;preindication;taste
4763,Flatbottomed,Having a flat bottom.,Adjective,A flatbottom kettle.,flatbottom,,C1,65,General,Uncommon,,,even
4764,Flatten,Become flat or flatter.,Verb,The landscape flattened.,flatten out,,B2,39,General,Less Common,,,steamroller;distort;stretch
4765,Flattened,Make flat or flatter.,Verb,Flatten a road.,flatten,,B1,15,General,Common,,,steamroller;distort;stretch
4766,Flavoring,Lend flavor to.,Verb,Season the chicken breast after roasting it.,season,flavor,B1,30,General,Common,,,zest;spice;sauce
4767,Flavour,The general atmosphere of a place or situation and the effect that it has on people.,Noun,The feel of the city excited him.,spirit,tone,C1,65,General,Uncommon,,,atmosphere;hollywood;variety
4768,Flavourless,Lacking taste or flavor or tang.,Adjective,A bland diet.,bland,flat,C1,65,General,Uncommon,,,flavourlessness;tasteless
4769,Flawless,Without a flaw.,Adjective,A flawless gemstone.,unflawed,,B1,30,General,Common,,,perfect;flawlessness
4770,Flecked,Make a spot or mark onto.,Verb,The wine spotted the tablecloth.,spot,fleck,B2,39,General,Less Common,,,tarnish;maculate;speckle
4771,Fledgeless,(of an arrow) not equipped with feathers.,Adjective,Shot an unfledged arrow.,unfledged,unvaned,C1,65,General,Uncommon,,,unfeathered;featherless
4772,Fledgling,(of a young bird) having acquired its flight feathers.,Adjective,A fledgling robin.,fledgeling,,B1,24,General,Common,,,mature;inexperienced;inexperient
4773,Fleeting,Move along rapidly and lightly; skim or dart.,Verb,The hummingbird flitted among the branches.,flit,flutter,A2,14,General,Very Common,,,disappear;evanesce;speed
4774,Fleetly,In a swift manner.,Adverb,She moved swiftly.,swiftly,,C1,65,General,Uncommon,,,fleet;fast
4775,Flexibleness,The quality of being adaptable or variable.,Noun,He enjoyed the flexibility of his working arrangement.,flexibility,,C1,65,General,Uncommon,,,flexible;pliability;pliancy
4776,Flexure,An angular or rounded shape made by folding.,Noun,A fold in the napkin.,fold,crease,C1,65,General,Uncommon,,,forking;plication;flex
4777,Flickering,Move back and forth very rapidly.,Verb,The candle flickered.,flicker,waver,C1,65,General,Uncommon,,,twinkle;scintillate;shimmer
4778,Flighted,Fly in a flock.,Verb,Flighting wild geese.,flight,,C1,65,General,Uncommon,,,shoot;pip;fly
4779,Flighty,Guided by whim and fancy.,Adjective,Flighty young girls.,flyaway,head-in-the-clouds,C1,65,General,Uncommon,,,flightiness;frivolous;excitable
4780,Flippantly,In a flippant manner.,Adverb,He answered the reporters' questions flippantly.,airily,,C1,65,General,Uncommon,,,flippant;frivolous
4781,Flirting,"Talk or behave amorously, without serious intentions.",Verb,The guys always try to chat up the new secretaries.,chat up,flirt,C1,65,Communication,Uncommon,,,coquette;romance;continue
4782,Floater,Spots before the eyes caused by opaque cell fragments in the vitreous humor and lens.,Noun,Floaters seem to drift through the field of vision.,musca volitans,muscae volitantes,B2,39,General,Less Common,,,obligation;symptom;note
4783,Flogging,Beat severely with a whip or rod.,Verb,The teacher often flogged the students.,flog,welt,C1,65,General,Uncommon,,,scourge;belabour;lambaste
4784,Flooding,Fill quickly beyond capacity; as with a liquid.,Verb,The basement was inundated after the storm.,deluge,flood,B1,30,General,Common,,,inundate;submerge;overwhelm
4785,Floodlit,Illuminated by means of floodlights.,Adjective,The floodlit courtyard.,floodlighted,,B2,39,General,Less Common,,,light
4786,Flooring,"The inside lower horizontal surface (as of a room, hallway, tent, or other structure).",Noun,They needed rugs to cover the bare floors.,floor,,A2,14,Science & Technology,Very Common,,,platform;insulation;fencing
4787,Floridity,Extravagant elaborateness.,Noun,He wrote with great flamboyance.,flamboyance,floridness,C1,65,General,Uncommon,,,ornateness;showiness;elaborateness
4788,Floridness,Extravagant elaborateness.,Noun,He wrote with great flamboyance.,flamboyance,floridity,C1,65,General,Uncommon,,,ornateness;showiness;florid
4789,Flourish,(music) a short lively tune played on brass instruments.,Noun,He entered to a flourish of trumpets.,fanfare,tucket,B1,17,Communication,Common,,,embellishment;gesture;motion
4790,Flowered,Produce or yield flowers.,Verb,The cherry tree bloomed.,bloom,blossom,B1,24,General,Common,,,develop;progress;incubate
4791,Flowerless,Without flower or bloom and not producing seeds.,Adjective,A flowerless plant.,nonflowering,,C1,65,General,Uncommon,,,
4792,Flowery,Marked by elaborate rhetoric and elaborated with decorative details.,Adjective,A flowery speech.,ornate,,C1,65,General,Uncommon,,,flower;rhetorical
4793,Fluctuate,Move or sway in a rising and falling or wavelike pattern.,Verb,The line on the monitor vacillated.,vacillate,waver,C1,65,General,Uncommon,,,fluctuation;move;displace
4794,Fluctuation,The quality of being unsteady and subject to changes.,Noun,He kept a record of price fluctuations.,wavering,,C1,65,General,Uncommon,,,fluctuate;alteration;permutation
4795,Fluidness,The property of flowing easily.,Noun,Adding lead makes the alloy easier to cast because the melting point is reduced and the fluidity is increased.,fluidity,liquidity,C1,65,General,Uncommon,,,thinness;changeableness;runniness
4796,Fluoridate,Subject to fluoridation; treat with fluoride.,Verb,Fluoridized water.,fluoridize,fluoridise,C1,65,General,Uncommon,,,process;fluoride;fluoridation
4797,Fluoridise,Subject to fluoridation; treat with fluoride.,Verb,Fluoridized water.,fluoridate,fluoridize,C1,65,General,Uncommon,,,process;fluoridisation;treat
4798,Flushed,"Turn red, as if in embarrassment or shame.",Verb,The girl blushed when a young man whistled as she walked by.,blush,crimson,B1,15,Health & Wellness,Common,,,discolor;discolour;melanize
4799,Fluttering,Move along rapidly and lightly; skim or dart.,Verb,The hummingbird flitted among the branches.,flit,flutter,B1,20,General,Common,,,speed;hurry;zip
4800,Flyblown,Spoiled and covered with eggs and larvae of flies.,Adjective,Flyblown meat.,maggoty,,C1,65,General,Uncommon,,,unclean;stale;dirty
4801,Flyspeck,Very small.,Adjective,Diminutive in stature.,bantam,diminutive,C1,65,General,Uncommon,,,small;little
4802,Focalise,Concentrate on a particular place or spot.,Verb,The infection has localized in the left eye.,localize,localise,C1,65,General,Uncommon,,,intervene;dominate;command
4803,Focussed,(of light rays) converging on a point.,Adjective,Focused light rays can set something afire.,focused,,B1,24,General,Common,,,convergent
4804,Fogyish,(used pejoratively) out of fashion; old fashioned.,Adjective,Moss-grown ideas about family life.,moss-grown,mossy,C1,65,General,Uncommon,,,unfashionable;unstylish
4805,Foldable,Capable of being folded up and stored.,Adjective,A foldaway bed.,foldaway,folding,C1,65,General,Uncommon,,,collapsible;collapsable
4806,Foldaway,Capable of being folded up and stored.,Adjective,A foldaway bed.,foldable,folding,C1,65,General,Uncommon,,,collapsible;collapsable
4807,Foliate,Ornamented with foliage or foils.,Adjective,Foliate tracery.,foliated,,C1,65,General,Uncommon,,,foliage;leafy
4808,Follies,The quality of being rash and foolish.,Noun,Trying to drive through a blizzard is the height of folly.,folly,foolishness,B1,30,Academic,Common,,,fatuousness;revue;review
4809,Fondler,A lover who gently fondles and caresses the loved one.,Noun,They are heavy petters.,petter,,C1,65,Society & Culture,Uncommon,,,admirer;dearest;favorite
4810,Fondling,Touch or stroke lightly in a loving or endearing manner.,Verb,He caressed her face.,caress,fondle,C1,65,General,Uncommon,,,stroke;pet;chuck
4811,Foolhardy,Marked by defiant disregard for danger or consequences.,Adjective,Foolhardy enough to try to seize the gun from the hijacker.,heady,rash,B1,30,General,Common,,,foolhardiness;bold
4812,Foolish,Having or revealing stupidity.,Adjective,Ridiculous anserine behavior.,anserine,dopy,A2,7,General,Very Common,,,foolishness;cockamamy;cockeyed
4813,Foolishness,The quality of being rash and foolish.,Noun,Trying to drive through a blizzard is the height of folly.,folly,craziness,B1,30,Academic,Common,,,foolish;fatuousness;dullness
4814,Footfall,The sound of a step of someone walking.,Noun,He heard footsteps on the porch.,footstep,step,B2,39,General,Less Common,,,sound
4815,Foothold,An area in hostile territory that has been captured and is held awaiting further troops and supplies.,Noun,An attempt to secure a bridgehead behind enemy lines.,bridgehead,,C1,65,Travel & Places,Uncommon,,,support;beachhead;airhead
4816,Footling,Be about.,Verb,The high school students like to loiter in the Central Square.,loiter,lounge,C1,65,General,Uncommon,,,act;behave
4817,Footnote,Add explanatory notes to or supply with critical comments.,Verb,The scholar annotated the early edition of a famous novel.,annotate,,B1,24,Arts & Creativity,Common,,,compose;poetise;dramatize
4818,Footrace,A race run on foot.,Noun,She broke the record for the half-mile run.,foot race,run,C1,65,General,Uncommon,,,race;marathon;steeplechase
4819,Footstep,The sound of a step of someone walking.,Noun,He heard footsteps on the porch.,footfall,step,B1,24,General,Common,,,sidestep;sound;pas
4820,Footsure,Not liable to stumble or fall.,Adjective,On surefooted donkeys.,surefooted,sure-footed,C1,65,General,Uncommon,,,steady
4821,Forbear,Refrain from doing.,Verb,She forbore a snicker.,hold back,,C1,65,General,Uncommon,,,refrain;abstain;forbearance
4822,Forbiddance,The action of prohibiting or inhibiting or forbidding (or an instance thereof).,Noun,They were restrained by a prohibition in their charter.,prohibition,inhibition,C1,65,General,Uncommon,,,forbid;action;interdiction
4823,Forbidding,Command against.,Verb,I forbid you to call me late at night.,forbid,prohibit,B1,30,Communication,Common,,,command;require;criminalise
4824,Forceful,Forceful and definite in expression or action.,Adjective,The document contained a particularly emphatic guarantee of religious liberty.,emphatic,,A2,12,General,Very Common,,,bruising;physical;forcefulness
4825,Forceless,Lacking force; feeble.,Adjective,A forceless argument.,unforceful,,C1,65,General,Uncommon,,,wimpish;wimpy
4826,Forebode,Make a prediction about; tell in advance.,Verb,Call the outcome of an election.,predict,foretell,C1,65,Communication,Uncommon,,,venture;pretend;forecast
